상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,카테고리코드,판매상태,옵션명1,옵션값1,재고수량
64d328a420ab0a562326b462,23-18-01,웅진 하늘보리180ml 90개,30100.0,39130.0,0.0,0.0,0.0,,,,103398,판매중,웅진 하늘보리180ml 90개,웅진 하늘보리180ml 90개,9999
64d32913911de37a5fd9848e,20-18,광동 옥수수수염차 캔 180ml 90개,35700.0,46410.0,0.0,0.0,0.0,,,,103396,판매중,광동 옥수수수염차 캔 180ml 90개,광동 옥수수수염차 캔 180ml 90개,9999
64d3295c2d61118d2c4352c7,27-15-02,롯데 펩시콜라 190ml 90개,43000.0,55900.0,0.0,0.0,0.0,,,,103412,판매중,롯데 펩시콜라 190ml 90개,롯데 펩시콜라 190ml 90개,9999
64d329ea083c1174d222a2cf,24-704-04,스타벅스 더블샷 에스프레소&크림 200ml 108개 (36개 * 3박스),95000.0,123500.0,0.0,0.0,0.0,,,,103964,판매중,스타벅스 더블샷 에스프레소&크림 200ml 108개 (36개 * 3박스),스타벅스 더블샷 에스프레소&크림 200ml 108개 (36개 * 3박스),9999
64d32a29e9bc8b4ff33a4d7e,29-05-01,일화 초정 탄산수 190ml 90개,33400.0,43420.0,0.0,0.0,0.0,,,,103350,판매중,일화 초정 탄산수 190ml 90개,일화 초정 탄산수 190ml 90개,9999
64d32a6bbc9cbe89c1d15d1c,35-01,참맑은 옥수수수염차175ml 90개,26900.0,34970.0,0.0,0.0,0.0,,,,103396,판매중,참맑은 옥수수수염차175ml 90개,참맑은 옥수수수염차175ml 90개,9999
64d32afa075cdb0139cec0d0,35-18-05,참맑은 토마토 175ml 90개,30700.0,39910.0,0.0,0.0,0.0,,,,103373,판매중,참맑은 토마토 175ml 90개,참맑은 토마토 175ml 90개,9999
64d32bc743c94b38d751a9f7,24-02,동서 제티초코 175ml 90개,46800.0,60840.0,0.0,0.0,0.0,,,,103403,판매중,동서 제티초코 175ml 90개,동서 제티초코 175ml 90개,9999
64d32c4332be2adad440ceec,21-17-03,트레비 190ml 캔 90개 (30개 3박스),35000.0,45500.0,0.0,0.0,0.0,,,,103350,판매중,트레비 190ml 캔 90개,트레비 190ml 캔 90개,9999
64d32cd5ae244490b458dac2,27-44,롯데 칸타타 프리미엄라떼 175ml 90개 (30개 * 3박스),71500.0,92950.0,0.0,0.0,0.0,,,,103964,판매중,롯데 칸타타 프리미엄라떼 175ml 90개,롯데 칸타타 프리미엄라떼 175ml 90개,9999
64d32d6104c63f23a82df8b7,27-03-01,롯데칠성 실론티175ml(업소용) 90개,36300.0,47190.0,0.0,0.0,0.0,,,,103396,판매중,롯데칠성 실론티175ml(업소용) 90개,롯데칠성 실론티175ml(업소용) 90개,9999
64d32ea839ef63746280113f,35-27-02,참맑은 비타엔 캔 175ml 90개 (30개 3박스),30700.0,39910.0,0.0,0.0,0.0,,,,103391,판매중,참맑은 피로엔 캔 175ml 90개 (30개 3박스),참맑은 피로엔 캔 175ml 90개 (30개 3박스),9999
64d3300304c63f23a82e1f37,31-17-02,스프라이트 190ml 90개 (30개 3박스),53000.0,65500.0,0.0,0.0,0.0,,,,103409,판매중,스프라이트 190ml 90개 (30개 3박스),스프라이트 190ml 90개 (30개 3박스),9999
64d330cc430ea18c8ad30699,29-19,일화 맥콜 (업소용) 캔 190ml 90개 (30개 * 3박스),36600.0,47580.0,0.0,0.0,0.0,,,,103407,판매중,일화 맥콜 (업소용) 캔 190ml 90개 (30개 * 3박스),일화 맥콜 (업소용) 캔 190ml 90개 (30개 * 3박스),9993
64d33120c449f1c31510463b,35-10,참맑은 망고 캔 175ml 90개,30000.0,39000.0,0.0,0.0,0.0,,,,103361,판매중,참맑은 망고 캔 175ml 90개,참맑은 망고 캔 175ml 90개,9999
64d3328867336dab673f07fb,31-01-01,코카콜라 190ml 90개,57400.0,72900.0,0.0,0.0,0.0,,,,103412,판매중,코카콜라 190ml 90개,코카콜라 190ml 90개,9999
64d3335afae7bee844bd8f1f,35-27-01,참맑은 매실 캔 175ml 90개,30100.0,39130.0,0.0,0.0,0.0,,,,103362,판매중,참맑은 매실 캔 175ml 90개,참맑은 매실 캔 175ml 90개,9996
64d33397db421d67e8aa1890,35-08,참맑은 벌꿀 캔175ml 90개,32000.0,41600.0,0.0,0.0,0.0,,,,103388,판매중,참맑은 벌꿀 캔175ml 90개,참맑은 벌꿀 캔175ml 90개,9999
64d33401a9132b125dccc8f3,35-27,참맑은 복숭아 캔 175ml 90개,30900.0,40170.0,0.0,0.0,0.0,,,,103355,판매중,참맑은 복숭아 캔 175ml 90개,참맑은 복숭아 캔 175ml 90개,9999
64d3384877d0b450a5a2979e,25-01,매일 카페라떼마일드 220ml 40개,53800.0,69940.0,0.0,0.0,0.0,,,,103964,판매중,매일 카페라떼마일드 220ml 40개,매일 카페라떼마일드 220ml 40개,9999
64d338c9ac06a2c6259db225,25-01-01,매일 카페라떼마일드 로어슈거 220ml 40개,53800.0,69940.0,0.0,0.0,0.0,,,,103964,판매중,매일 카페라떼마일드 로어슈거 220ml 40개,매일 카페라떼마일드 로어슈거 220ml 40개,9999
64d33904aaf74fb15378d5ea,21-003-01,남양 과수원 복숭아 190ml 96개,32000.0,41600.0,0.0,0.0,0.0,,,,103355,판매중,남양 과수원 복숭아 190ml 96개,남양 과수원 복숭아 190ml 96개,9999
64d3393cc90a99b3fc1572ea,25-02,매일 카페라떼 카라멜 마끼아또 220ml 40개,49800.0,64740.0,0.0,0.0,0.0,,,,103964,판매중,매일 카페라떼 카라멜 마끼아또 220ml 40개,매일 카페라떼 카라멜 마끼아또 220ml 40개,9999
64d339d700503e96e6b3897e,21-003,남양 과수원 사과 190ml 96개,32000.0,41600.0,0.0,0.0,0.0,,,,103365,판매중,남양 과수원 사과 190ml 96개,남양 과수원 사과 190ml 96개,9993
64d33a2a7f28ecef621f8784,16-51-03,동원 친친오리지널 치즈 소시지 80g 100개 (10개 * 10박스),65500.0,85150.0,0.0,0.0,0.0,,,,103336,판매중,동원 친친오리지널 치즈 소시지 80g 100개 (10개 * 10박스),동원 친친오리지널 치즈 소시지 80g 100개 (10개 * 10박스),9999
64e2d9e2b65dba1b4ba2f9dc,25-40-02,삼성 까스명수 소화제 75ml 60개,37200.0,74360.0,0.0,0.0,0.0,,,,103395,판매중,삼성 까스명수 소화제 75ml 60개,삼성 까스명수 소화제 75ml 60개,9998
64e2da28fc4098a8807a518f,22-01-04,비락식혜 238ml 24입,16200.0,21060.0,0.0,0.0,0.0,,,,103400,판매중,비락식혜 238ml 24입,비락식혜 238ml 24입,9998
64e2e77c5799b9b849850520,12-11-01,동원 쿨피스 제로 복숭아맛 230ml 30개,16000.0,20800.0,0.0,0.0,0.0,,,,100011,판매중,동원 쿨피스 제로 복숭아맛 230ml 30개,동원 쿨피스 제로 복숭아맛 230ml 30개,9999
64e2e9d20d6fa5117c369026,27-08-01,칠성사이다 (업소용) 슬림캔 245ml 30캔,22200.0,28860.0,0.0,0.0,0.0,,,,103409,판매중,칠성사이다 (업소용) 슬림캔 245ml 30캔,칠성사이다 (업소용) 슬림캔 245ml 30캔,9999
64e2ea2f73aad1f7b5e74243,30-12-03,블랙보리 라이트 175ml 30개,11600.0,15080.0,0.0,0.0,0.0,,,,103398,판매중,블랙보리 라이트 175ml 30개,블랙보리 라이트 175ml 30개,9998
64e2ea981c58e9d559a20741,31-03-08,몬스터에너지 제로슈가 355ml 24개,36500.0,44800.0,0.0,0.0,0.0,,,,103407,판매중,몬스터에너지 제로슈가 355ml 24개,몬스터에너지 제로슈가 355ml 24개,9999
64e2eb35954863bf2024ddce,31-03-06,몬스터에너지 파이프라인펀치 (핑크) 355ml 24개,36500.0,45000.0,0.0,0.0,0.0,,,,103407,판매중,몬스터에너지 파이프라인펀치 (핑크) 355ml 24개,몬스터에너지 파이프라인펀치 (핑크) 355ml 24개,9999
64e2ec265ca4c08a6ff1011b,12-01-04,동원 보성홍차 아이스티 제로 복숭아맛 500ml 24개,21400.0,27820.0,0.0,0.0,0.0,,,,103401,판매중,동원 보성홍차 아이스티 제로 복숭아맛 500ml 24개,동원 보성홍차 아이스티 제로 복숭아맛 500ml 24개,9987
