관리코드,상품명,규격
27-28,칠성사이다 1.25 (업소용) (60),1.25L*12
27-46,칸타타프리미엄라떼 275*24,275*24
27-46-01,칠성)칸타타아메리카노275*24,275ml*24
27-46-02,칠성)칸타타(더치블랙)275*24,275ml*24
21-22,초코에몽팩180,180*24
29-13,초정탄산수캔라임/250,250*30
29-05,초정탄산수캔 250 (110),250ml*30
29-37,초정탄산수자몽350,350ml*20
29-36,초정탄산수자몽500,500ml*20
29-35,초정탄산수레몬500,500ml*20
29-34,초정탄산수라임500,500ml*20
29-05-02,초정탄산수350캔(100),350ml*24
29-38,초정탄산수(플레인)350,350ml*20
29-06,초정탄산수 500 (66),500ml*20
29-04,초정탄산수 1.5 (40),1.5L*12
29-05-01,초정 탄산수 190(132),190ml*30
23-19-01,초록매실캔180(90입) 48,180*(15*6)
62-01,청정원현미태양초찰고추장500g,500g*20
62-02,청정원현미매운태양초고추장500g,500g*20
62-03,청정원현미고추장2K(쌈장500+된장500),2K*6
01-17-08,청정원팜고급유NH-1호(3세트)-(BOX),(1*3set)
62-04,청정원태양초고추장1.5(+400g),(1.5kg+400g)*6
01-30,청정원초고추장1kg,1kg*12입
61-87,청정원양념장(소불고기),500g*15
61-79,청정원양념장(소갈비),500g*15
61-61,청정원양념장(돼지불고기),500g*15
61-86,청정원양념장(돼지갈비),500g*15
01-03,청정원쌈장P500g,500g*20
01-05.,청정원/진태양초고추장14kg,14kg
01-23.,청정원/재래식생된장14kg,14kg
15-52,청정원/우리쌀로만든태양초고추장2.5+450,(2.5kg+450g)4set
01-16,청정원/순창태양초찰고추장500,500g*24
01-05,청정원/순창태양초고추장3k,3k*4
01-22,청정원/순창된장2.8(통),2.8*4
62-08,청정원/순창고추장500g통,500g*20
62-09,청정원/순창고추장500g봉지,500g*24
01-19-04,청정원 고급유6호 / 8세트-(BOX)/24,(카놀라유500ml*2+요리유500ml*1)*8
01-19-02,청정원 고급유3호 /4세트-(BOX),(포도씨유500ml*1+올리브유500ml*1+카놀라유500ml*2)*4
01-17-05,청정원 NH-5호 / 3세트-(BOX),NH5호/3세트
01-17-03,청정원 NH3호 / 3세트-(BOX)/32,(카놀500ml*2+올리700g*1+식초470ml*1+잇츠팜*6)*3
01-17,청정원 스페셜 NH2호/3세트,NH2호 /3세트
41-50,청수국수 2.5kg,2.5kg*6
29-22-01,천연사이다캔 250 (씩스팩),250ml*30
29-10,천연사이다캔 160,160ml*30
29-24-01,천연사이다병 340 (42),340ml*24
29-39.,천연사이다공상자,
29-39,천연사이다공병,
29-23,천연사이다 500,500ml*20
29-04-02,천연사이다 350ml,350ml*24
29-22,천연사이다 250(110),250ml*30
29-10-01,천연사이다(업소용) 190(132),190ml*30
29-24,천연사이다 1.5L(40),1.5L*12
08-55,참튀김가루/큐원삼양(50),1kg*10
25-59-05,참조은겨 그랑프리737 (15입),119*15
35-09,참맑은홍삼골드 175ml,175ml*30
52-55.,참맑은알로에 175ml (156),175ml*30
35-07,참맑은 우리집식혜 175ml (156),175ml*30
35-27,참맑은복숭아175ml (156),175ml*30
35-14,참맑은복분자캔175ml (156),175ml*30
35-42,참맑은베아르시카푸치노캔150ml (168),150ml*30
35-41,참맑은베아르시카푸치노캔175ml (156),175ml*30
35-08,참맑은벌꿀175ml (156),170ml*30
35-10,참맑은망고175ml  (156),175ml*30
35-40,참맑은꿀수박175ml,175ml*30
35-05,참맑은홍차 175ml (156),175ml*30
35-06,참맑은헛개차 175ml (156),175ml*30
35-03,참맑은우롱차175ml(156),175ml*30
35-01,참맑은옥수수수염차175ml (156),175ml*30
35-02,참맑은보성녹차175ml(156),175ml*30
35-04,참맑은둥굴레차175ml (156),175ml*30
35-02-01,참맑은녹차두유175ml,175ml*30
35-16,참맑은 참대추175 (156),175ml*30
08-01,참그린녹차뽀드득1k(용기),1k*12
08-01-01,참그린 청귤산뜻설거지,970L* 10
54-07,짜파게티멀티 (8팩) (56),(5*8)
39-920,진짬뽕(32입)/오뚜기,4입*8
39-91-03,진진짜라 {멀티],5*8
13-12,진양죽순4호,400g*24
28-08,진로파렛트,
25-50-03,진로토닉워터애플(96),300ml*24
25-50-02,진로토닉워터깔라만시(96),300ml*24
25-50-06,진로토닉워터600 (54),600ml*20
25-50-01,진로토닉워터 300ml (104),300ml*24
25-11,진로 하이트제로355ml (100),355ml*24
25-22,진로/카린스300,300ml*24
81-34,진라면큰컵(순한맛)/90,12입
81-33,진라면큰컵(매운맛)/90,12입
39-94,진라면순한맛기획 20입(63),20입
81-16,진라면소컵(순한맛)/272,6입
81-15,진라면소컵(매운맛)/272,6입
39-93,진라면매운맛기획 20입(63),20입
39-91-01,진라면[순한맛]멀티팩40 (70),5*8
39-91,진라면[매운맛]멀티팩40 (70),(5*8)
36-69.,진골드고추장14K/청정원,14kg
03-16,진간장금F-3일반(샘표)930,930*12
