관리코드,식품음료,합포수량,최종분류
27-04-01,음료,2,탄산음료
27-04-02,음료,1,탄산음료
27-04-03,음료,1,탄산음료
27-04-04,음료,1,탄산음료
27-04-05,음료,1,탄산음료
27-04-06,음료,2,탄산음료
27-05,음료,2,기타과즙음료
27-06,음료,2,이온
27-07,음료,3,커피
27-07-01,음료,3,커피
27-07-02,음료,3,커피
27-07-05,음료,3,커피
27-07-08,음료,1,커피
27-08,음료,2,탄산음료
27-08-01,음료,2,탄산음료
27-100-01,음료,1,생수
27-103,음료,2,커피
27-11,음료,1,탄산음료
27-111,음료,1,기타과즙음료
27-12-05,음료,1,커피
27-15,음료,2,탄산음료
27-15-02,음료,3,탄산음료
27-15-03,음료,2,탄산음료
27-15-05,음료,2,탄산음료
27-15-06,음료,2,탄산음료
27-15-07,음료,2,탄산음료
27-15-08,음료,3,탄산음료
27-15-10,음료,2,탄산음료
27-16,음료,2,탄산음료
27-16-01,음료,2,탄산음료
27-17,음료,1,탄산수
27-17-01,음료,1,탄산수
27-17-02,음료,1,탄산수
27-17-03,음료,1,탄산수
27-17-04,음료,4,탄산수
27-17-05,음료,4,탄산수
27-17-06,음료,4,탄산수
27-17-07,음료,4,탄산수
27-2-01,음료,2,탄산수
27-2-09,음료,1,탄산수
27-20,음료,1,기타과즙음료
27-20-01,음료,1,기타과즙음료
27-20-03,음료,1,기타과즙음료
27-21-01,음료,1,기타과즙음료
27-21-05,음료,3,기타과즙음료
27-21-06,음료,3,기타과즙음료
27-21-07,음료,3,기타과즙음료
27-21-08,음료,3,기타과즙음료
27-24,음료,1,이온
27-24-01,음료,1,이온
27-24-02,음료,1,이온
27-24-03,음료,1,이온
27-25,음료,1,탄산음료
27-25-01,음료,1,탄산음료
27-25-02,음료,1,탄산음료
27-26,음료,1,탄산음료
