상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,리테일규격,입수,품절여부
4897036692424,4897036692424,몬스터에너지 파이프라인펀치 (핑크) 355ml,66150.0,66150.0,0.0,0.0,0.0,,,,355ml,48,N
8803186200088,8803186200088,몽베스트 1L,7540.0,7540.0,0.0,0.0,0.0,,,,1L,12,N
8803186200163,8803186200163,몽베스트 330ml,6950.0,6950.0,0.0,0.0,0.0,,,,330ml,20,N
8806004404019,8806004404019,현대제약 미에로화이바 100ml 1,47720.0,47720.0,0.0,0.0,0.0,,,,100ml,100,N
8809756160196,8809756160196,밀리원 삼계탕,40500.0,40500.0,0.0,0.0,0.0,,,,1kg*8,8,N
8801056043551,8801056043551,롯데칠성 밀키스 캔 340ml,30000.0,30000.0,0.0,0.0,0.0,,,,340ml,48,N
8801060231012,8801060231012,백광 트래펑 1L,22930.0,22930.0,0.0,0.0,0.0,,,,1L,12,N
8801060232019,8801060232019,백광 트래펑 2L,20380.0,20380.0,0.0,0.0,0.0,,,,2L,6,N
8801007402345,8801007402345,백설 콩식용유 1.8L,47720.0,47720.0,0.0,0.0,0.0,,,,1.8L,10,N
8801007029641,8801007029641,CJ 스팸 25% 라이트 마일드 340g,79960.0,79960.0,0.0,0.0,0.0,,,,340ml,20,N
8801001238056,8801001238056,진로 블랙보리 1.5L,17830.0,17830.0,0.0,0.0,0.0,,,,1.5L,12,N
8801001238148,8801001238148,블랙보리 340ml,26300.0,26300.0,0.0,0.0,0.0,,,,340ml,40,N
8801001238100,8801001238100,블랙보리 라이트 175ml,26300.0,26300.0,0.0,0.0,0.0,,,,175ml,90,N
8809695254291,8809695254291,비락 식혜 1.5L,23220.0,23220.0,0.0,0.0,0.0,,,,1.5L,8,N
8801128945745,8801128945745,비락 식혜 500ml,16170.0,16170.0,0.0,0.0,0.0,,,,500ml,12,N
8801128900201,8801128900201,비락식혜 238ml,38020.0,38020.0,0.0,0.0,0.0,,,,238ml,72,N
8801075015409,8801075015409,사조 마일드 참치 200g,72120.0,72120.0,0.0,0.0,0.0,,,,200g,36,N
8806102400265,8806102400265,삼성 까스명수 소화제 75ml 100,49090.0,49090.0,0.0,0.0,0.0,,,,75ml,100,N
8809029610052,8809029610052,삼아 완두콩 400g,24500.0,24500.0,0.0,0.0,0.0,,,,400g,24,N
8809029610021,8809029610021,삼아 베이크드빈스 400g,28420.0,28420.0,0.0,0.0,0.0,,,,400g,24,N
8801073102538,8801073102538,삼양라면 깔끔한 감칠맛 멀티팩,24790.0,24790.0,0.0,0.0,0.0,,,,120g,40,N
8801005112024,8801005112024,샘표 양조간장501(1.7L+양조500ml),73890.0,73890.0,0.0,0.0,0.0,,,,1.7L,6,N
8801005133029,8801005133029,샘표 진간장금F-3(1.8+500),59380.0,59380.0,0.0,0.0,0.0,,,,(금F3+금F3 500),6,N
8801005105088,8801005105088,샘표 진간장S 1.7L,24790.0,24790.0,0.0,0.0,0.0,,,,1.7L,6,N
8801037035476,8801037035476,스타벅스 더블샷 에스프레소&크림 200ml,125830.0,125830.0,0.0,0.0,0.0,,,,200ml,108,N
8801007806440,8801007806440,스팸기획 클래식 300g,79870.0,79870.0,0.0,0.0,0.0,,,,300g,24,N
8801007512235,8801007512235,CJ 스팸 클래식 340g,79670.0,79670.0,0.0,0.0,0.0,,,,340g,20,N
8801094208004,8801094208004,스프라이트 190ml,45080.0,45080.0,0.0,0.0,0.0,,,,190ml,90,N
8801094203009,8801094203009,스프라이트 250ml,36750.0,36750.0,0.0,0.0,0.0,,,,250ml,60,N
8801094963200,8801094963200,스프라이트 제로 355ml(업소용),30180.0,30180.0,0.0,0.0,0.0,,,,355ml,48,N
8802255808019,8802255808019,신형 여명808 119ml 90병 (,237450.0,237450.0,0.0,0.0,0.0,,,,119ml,90,N
8809170703177,8809170703177,아망아망 물티슈 캡형 100매,14790.0,14790.0,0.0,0.0,0.0,,,,100매,20,N
8801046248355,8801046248355,애경 스파크R 5.5kg,24690.0,24690.0,0.0,0.0,0.0,,,,5.5kg,3,N
8801046374351,8801046374351,애경 스파크R 9kg( 8.5kg+500),24300.0,24300.0,0.0,0.0,0.0,,,,(8.5k+500),2,N
8801007043029,8801007043029,에이치케이이노엔 홍삼진 100ml,37630.0,37630.0,0.0,0.0,0.0,,,,100ml*10,10,N
8801105914382,8801105914382,해태 영진구론산 오리지날 150ml,21460.0,21460.0,0.0,0.0,0.0,,,,150ml,30,N
8801045522265,8801045522265,오뚜기 진라면 매운맛 멀티팩,25480.0,25480.0,0.0,0.0,0.0,,,,5개입*8,8,N
8801045522234,8801045522234,오뚜기 진라면 순한맛 멀티팩,25480.0,25480.0,0.0,0.0,0.0,,,,5개입*8,8,N
8801045890494,8801045890494,오뚜기밥 210g,12740.0,12740.0,0.0,0.0,0.0,,,,210g*12,1,N
8801861150062,8801861150062,웅진 가야 복숭아농장 1.5L,28610.0,28610.0,0.0,0.0,0.0,,,,1.5L,12,N
8801861220604,8801861220604,웅진 가야 사과농장 1.5L,26750.0,26750.0,0.0,0.0,0.0,,,,1.5L,12,N
8801861150505,8801861150505,웅진 가야 알로에농장 180ml,26460.0,26460.0,0.0,0.0,0.0,,,,180ml,48,N
8801861130439,8801861130439,웅진 가야 토마토농장 1.5L,27440.0,27440.0,0.0,0.0,0.0,,,,1.5L,12,N
8801861130361,8801861130361,웅진 가야 토마토농장 180ml,26360.0,26360.0,0.0,0.0,0.0,,,,180ml,48,N
8801861150567,8801861150567,웅진 가야농장 알로에1.5L,22730.0,22730.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382145936,8801382145936,웅진 결명자차 1.5L,15970.0,15970.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382145769,8801382145769,웅진 광명찾은 결명자차 500ml,16750.0,16750.0,0.0,0.0,0.0,,,,500ml,20,N
8801382150152,8801382150152,웅진 달달하게 건강을 채우는 꿀물 180ml,11170.0,11170.0,0.0,0.0,0.0,,,,180ml,30,N
8801382149620,8801382149620,웅진 맑게 우려낸 누룽지 1.5L,15190.0,15190.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382135036,8801382135036,웅진 맑게 우려낸 누룽지 500mL,15480.0,15480.0,0.0,0.0,0.0,,,,500ml,20,N
8801382123446,8801382123446,웅진 아침햇살 1.5L,23710.0,23710.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382128465,8801382128465,웅진 자연은 고칼슘 오렌지 캔 180ml,28610.0,28610.0,0.0,0.0,0.0,,,,180ml,90,N
8801382123422,8801382123422,웅진 자연은 고칼슘오렌지1.5L,33610.0,33610.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382127796,8801382127796,웅진 자연은 알로에 1.5L,27530.0,27530.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382127727,8801382127727,웅진 자연은 토마토 1.5L,27630.0,27630.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382126515,8801382126515,웅진 초록매실 1.5L,26360.0,26360.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382126560,8801382126560,웅진 초록매실 500ml,20480.0,20480.0,0.0,0.0,0.0,,,,500ml,20,N
8801382128557,8801382128557,웅진 초록매실180ml,26160.0,26160.0,0.0,0.0,0.0,,,,180ml,90,N
8801382148524,8801382148524,웅진 티즐 유자 그린티 500ml,18520.0,18520.0,0.0,0.0,0.0,,,,500ml,20,N
8801382150299,8801382150299,웅진 티즐 제로 라임민트티 500ml,19110.0,19110.0,0.0,0.0,0.0,,,,500ml,20,N
8801382149743,8801382149743,웅진 티즐 제로 자몽블랙티 500ml,17540.0,17540.0,0.0,0.0,0.0,,,,500ml,20,N
8801382150282,8801382150282,웅진 티즐 제로 피치얼그레이  500ml,19110.0,19110.0,0.0,0.0,0.0,,,,500ml,20,N
8801382148500,8801382148500,웅진 티즐 피치우롱차 500ml,18520.0,18520.0,0.0,0.0,0.0,,,,500ml,20,N
8801382131038,8801382131038,웅진 하늘보리 1.5L,16950.0,16950.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382138976,8801382138976,웅진 하늘보리 1.5L,16950.0,16950.0,0.0,0.0,0.0,,,,1.5L,12,N
8801382150404,8801382150404,웅진 하늘보리180ml,26950.0,26950.0,0.0,0.0,0.0,,,,180ml,90,N
8801382124849,8801382124849,웅진 하늘보리500ml,16360.0,16360.0,0.0,0.0,0.0,,,,500ml,20,N
8801382141525,8801382141525,웅진 헛개차,15280.0,15280.0,0.0,0.0,0.0,,,,1.5L,12,N
8801063110086,8801063110086,유동 꽁치 통조림 400g,59480.0,59480.0,0.0,0.0,0.0,,,,400g,24,N
8801063310073,8801063310073,유동 뚝배기 번데기탕(얼큰한 맛) 280g,39390.0,39390.0,0.0,0.0,0.0,,,,280g,24,N
8801063310097,8801063310097,유동 뚝배기번데기탕(구수한맛) 280g,39690.0,39690.0,0.0,0.0,0.0,,,,280g,24,N
8801063310011,8801063310011,유동 번데기 130g,38510.0,38510.0,0.0,0.0,0.0,,,,130g,48,N
8801063310035,8801063310035,유동 번데기 280g,35670.0,35670.0,0.0,0.0,0.0,,,,280g,24,N
8801063120016,8801063120016,유동 자연산 골뱅이 400g,210500.0,210500.0,0.0,0.0,0.0,,,,400g,24,N
8801063120191,8801063120191,유동 자연산 골뱅이 400g,210500.0,210500.0,0.0,0.0,0.0,,,,400g,24,N
8801063120023,8801063120023,유동 자연산골뱅이 140g,170320.0,170320.0,0.0,0.0,0.0,,,,140g,48,N
8801063310233,8801063310233,유동 자연산골뱅이 230g,134350.0,134350.0,0.0,0.0,0.0,,,,230g,24,N
8801063310301,8801063310301,유동 황도슬라이스 400g,28810.0,28810.0,0.0,0.0,0.0,,,,400g,24,N
8806006510633,8806006510633,유한 펑크린 1L,27040.0,27040.0,0.0,0.0,0.0,,,,1L,12,N
8806006510640,8806006510640,유한 펑크린 2L,26000.0,26000.0,0.0,0.0,0.0,,,,2L,6,N
8806006509057,8806006509057,유한락스 레귤러 1L,28710.0,28710.0,0.0,0.0,0.0,,,,1L,12,N
8806006508852,8806006508852,유한락스 후레쉬 1L,33320.0,33320.0,0.0,0.0,0.0,,,,1L,12,N
8801007071046,8801007071046,이노엔 헛개컨디션,115730.0,115730.0,0.0,0.0,0.0,,,,120ml,50,N
8801439773464,8801439773464,이동 크리스탈 500ml,5880.0,5880.0,0.0,0.0,0.0,,,,500ml,20,N
8801056002701,8801056002701,이프로 부족할때 240ml,33060.0,33060.0,0.0,0.0,0.0,,,,240ml,60,N
8801104501354,8801104501354,일화 맑은하늘 도라지차 500ml,16200.0,16200.0,0.0,0.0,0.0,,,,500ml,20,N
8801223100254,8801223100254,일화 맥콜 250ml,31260.0,31260.0,0.0,0.0,0.0,,,,250ml,60,N
8801223100803,8801223100803,일화 맥콜 350ml,25770.0,25770.0,0.0,0.0,0.0,,,,350ml,48,N
8801223100261,8801223100261,일화 맥콜 500ml,19500.0,19500.0,0.0,0.0,0.0,,,,500ml,20,N
8801104301053,8801104301053,일화 목에는 맑은하늘 도라지차 340ml,14790.0,14790.0,0.0,0.0,0.0,,,,340ml,20,N
8801223124700,8801223124700,일화 옥수수수염차 340ml,23320.0,23320.0,0.0,0.0,0.0,,,,340ml,40,N
8801223104306,8801223104306,일화 천연사이다 1.5L,16070.0,16070.0,0.0,0.0,0.0,,,,1.5L,12,N
8801223005924,8801223005924,일화 초정 탄산수 190ml,30380.0,30380.0,0.0,0.0,0.0,,,,190ml,90,N
8801223100209,8801223100209,일화 초정 탄산수 250ml,27200.0,27200.0,0.0,0.0,0.0,,,,250ml,60,N
