상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,사이트상품번호
5129995756,28-04,동아제약 포카리스웨트 340ml 48개 무료배송,41600.0,0.0,0.0,0.0,0.0,,,,4174539171
5129995688,23-48.,웅진 자연은 망고 캔 180ml 30개 무료배송,14900.0,0.0,0.0,0.0,0.0,,,,4174539172
5129995678,28-04,동아제약 포카리스웨트 340ml 24개 무료배송,22300.0,0.0,0.0,0.0,0.0,,,,4174539167
5129995691,23-012,웅진 하늘보리 325ml 48개 무료배송,33500.0,0.0,0.0,0.0,0.0,,,,4174539149
5129995683,23-012,웅진 하늘보리 325ml 24개 무료배송,18300.0,0.0,0.0,0.0,0.0,,,,4174539150
5129995686,32-19-02,해태 코코팜 피치핑크 캔 340ml 24개 무료배송,20500.0,0.0,0.0,0.0,0.0,,,,4174539147
5129995681,31-05-001,코카콜라제로(업소) 1.25L 12개 무료배송,21500.0,0.0,0.0,0.0,0.0,,,,4174539140
5129995674,31-17-02,스프라이트 190ml 30개 무료배송,20300.0,0.0,0.0,0.0,0.0,,,,4174539136
5129995676,35-14,참맑은 복분자 175ml 30개 무료배송,13400.0,0.0,0.0,0.0,0.0,,,,4174539135
5129842162,32-16-08,미닛자몽에이드 탄산 355ml 48개,33600.0,0.0,3000.0,0.0,0.0,,,,4174464151
5129842154,23-48.,웅진 자연은 망고 캔 180ml 90개,33300.0,0.0,3000.0,0.0,0.0,,,,4174464135
5129842112,35-14,참맑은 복분자 175ml 90개,29800.0,0.0,3000.0,0.0,0.0,,,,4174464109
5129842109,31-17-02,스프라이트 190ml 90개,50800.0,0.0,3000.0,0.0,0.0,,,,4174464107
5129842110,28-04,동아제약 포카리스웨트 340ml 48개,38100.0,0.0,3000.0,0.0,0.0,,,,4174464103
5129842113,32-19-02,해태 코코팜 피치핑크 캔 340ml 48개,34500.0,0.0,3000.0,0.0,0.0,,,,4174464104
5129842107,23-012,웅진 하늘보리 325ml 48개,30000.0,0.0,3000.0,0.0,0.0,,,,4174464099
5125540131,14-01-01,펭귄 김치꽁치 380g 24개,50700.0,0.0,3000.0,0.0,0.0,,,,4172515510
5125540079,23-13-01,웅징 아침햇살 고구마 500ml 20개,27300.0,0.0,3000.0,0.0,0.0,,,,4172515486
5125540082,31-05-001,코카콜라제로(업소) 1.25L 12개,18000.0,0.0,3000.0,0.0,0.0,,,,4172515483
