상품번호,코드,상품명,판매가,정가,배송비,즉시할인,포인트,바코드,오퍼코드,옵션코드,수수료raw,옵션번호,옵션명
249800,32-18,해태 갈아만든배 캔 238ml 24개,14000.0,20000.0,3000.0,0.0,0.0,,,,4.5,510493,해태 갈아만든배 캔 238ml 24개
249797,32-05,해태 코코팜 포도 238ml 72개,38300.0,44300.0,3000.0,0.0,0.0,,,,4.5,510490,해태 코코팜 포도 238ml 72개
249796,32-02,해태 갈아만든배 238ml 72개,39400.0,45400.0,3000.0,0.0,0.0,,,,4.5,510489,해태 갈아만든배 238ml 72개
249795,23-18,웅진 하늘보리500ml 20개,13200.0,19200.0,3000.0,0.0,0.0,,,,4.5,510488,웅진 하늘보리500ml 20개
249794,32-01,해태 포도봉봉 238ml 72개,38300.0,44300.0,3000.0,0.0,0.0,,,,4.5,510487,해태 포도봉봉 238ml 72개
249793,23-08,웅진 초록매실 500ml 20개,23400.0,29400.0,3000.0,0.0,0.0,,,,4.5,510486,웅진 초록매실 500ml 20개
249792,28-20,동아제약 오란씨 파인애플맛 250ml 30개,12900.0,18900.0,3000.0,0.0,0.0,,,,4.5,510485,동아제약 오란씨 파인애플맛 250ml 30개
249791,27-04-05,밀키스 제로 500ml 6개,24700.0,30700.0,3000.0,0.0,0.0,,,,4.5,510484,밀키스 제로 500ml 6개
249790,27-01-02,롯데 핫식스 오리지널 250ml 30개,18800.0,24800.0,3000.0,0.0,0.0,,,,4.5,510483,롯데 핫식스 오리지널 250ml 30개
249789,31-13-01,파워에이드 340ml 24개,15600.0,21600.0,3000.0,0.0,0.0,,,,4.5,510482,파워에이드 340ml 24개
249788,31-13-03,파워에이드 600ml 페트 20개,26000.0,32000.0,3000.0,0.0,0.0,,,,4.5,510481,파워에이드 600ml 페트 20개
249786,35-27,참맑은 복숭아 캔 175ml 30개,8900.0,14900.0,3000.0,0.0,0.0,,,,4.5,510479,참맑은 복숭아 캔 175ml 30개
249785,81-25,수미네 잔치집 식혜 340,12800.0,18800.0,3000.0,0.0,0.0,,,,4.5,510478,수미네 잔치집 식혜 340
249783,32,해태 과일촌 아침에사과 500ml 24개,25100.0,31100.0,3000.0,0.0,0.0,,,,4.5,510476,해태 과일촌 아침에사과 500ml 24개
249782,81-63,해태 갈아만든배 500ml 24개,31600.0,37600.0,3000.0,0.0,0.0,,,,4.5,510475,해태 갈아만든배 500ml 24개
249780,28-31,동아제약 박카스F 120ml 50개,36600.0,42600.0,3000.0,0.0,0.0,,,,4.5,510473,동아제약 박카스F 120ml 50개
249779,31-13,코카콜라 파워에이드 240ml 30개,13300.0,19300.0,3000.0,0.0,0.0,,,,4.5,510472,코카콜라 파워에이드 240ml 30개
249778,31-42,환타 오렌지 캔 185ml 30개,16000.0,22000.0,3000.0,0.0,0.0,,,,4.5,510471,환타 오렌지 캔 185ml 30개
249777,31-44-02,환타 포도맛 1.5L 12개,24100.0,30100.0,3000.0,0.0,0.0,,,,4.5,510470,환타 포도맛 1.5L 12개
249776,27-24,롯데칠성 게토레이 600ml 20개,20700.0,26700.0,3000.0,0.0,0.0,,,,4.5,510469,롯데칠성 게토레이 600ml 20개
249774,31-47-01,환타  업소용 파인 350ml 24개,15800.0,21800.0,3000.0,0.0,0.0,,,,4.5,510467,환타 파인 업소용 355ml 24개
249773,29-24,일화 천연사이다 1.5L 12개,15600.0,21600.0,3000.0,0.0,0.0,,,,4.5,510466,일화 천연사이다 1.5L 12개
