대분류명,중분류명,소분류명,상품코드,관리코드,상품명,규격,박스내품,매입단가,박스매입단가,매출단가,박스매출단가,매익률,최종재고,박스,낱개,최대 주문수량,긴글비고,판매자관리코드,SKU코드
기본 대분류,세제외-A동,CJ제일제당,000202,08-09-02,해찬들 새콤달콤 초고추장1050g (48),1050g*12,12,2675,32100,3200,38400,0.1963,0,0,0,0,,,
기본 대분류,세제외-A동,CJ제일제당,000203,52-58,해찬들/사계절쌈장3kg,3kg*4,4,9000,36000,12500,50000,0.3889,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000204,52-70,해찬들/사계절쌈장14kg,14kg,1,26000,26000,30000,30000,0.1538,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000205,52-822,해찬들/맛있게매운고추장1kg(싼것),1kg*12,12,5800,69600,6667,80004,0.1495,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000206,36-70,해찬들/된장500g(통),500g*20,20,1400,28000,1600,32000,0.1429,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000207,52-74,해찬들/구수한집된장1kg,1kg*12,12,2000,24000,2500,30000,0.25,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000208,62-54,해찬들/구수한된장14kg,14kg,1,31500,31500,45000,45000,0.4286,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000210,08-21,해찬들/고추장6.5kg,6.5kg*2,2,8000,16000,12000,24000,0.5,0,0,,0,,,
기본 대분류,세제외-A동,CJ제일제당,000213,08-17-01,해찬들 태양초 고추장 1.8kg+450 (48),1.8kg*450*4,4,6900,27600,8000,32000,0.1594,0,0,0,0,,,
기본 대분류,세제외-A동,팔도,000215,22-45,해물왕컵,,16,750,12000,875,14000,0.1667,0,0,0,0,,,
기본 대분류,세제외-A동,애경,000216,02-23,항균트리오(과일세척)3kg (48),3kg*4,4,4300,17200,5650,22600,0.314,304,76,0,0,,,
기본 대분류,세제외-A동,애경,000217,02-22,항균트리오(과일세척)2kg(52),2kg*6,6,2766.6667,16600.000200000002,3816.6667,22900.000200000002,0.3795,216,36,0,0,,,
기본 대분류,세제외-A동,애경,000218,02-21,항균트리오(과일세척)1kg(40),1kg*12,12,1666.6667,20000.0004,2500,30000,0.5,288,24,0,0,,,
