ESM카테고리명,사이트카테고리명,사이트,ESM카테고리,사이트카테고리
식품>가공식품>수산가공식품>건해산물>황태/북어/코다리,신선식품>건어물>황태/북어/코다리,G마켓,00030002000700010005,100000020200001691300008046
식품>가공식품>수산가공식품>건해산물>쥐포/어포,신선식품>건어물>쥐포/어포,G마켓,00030002000700010006,100000020200001691300028985
식품>가공식품>수산가공식품>건해산물>김,신선식품>김/해조류>김,G마켓,00030002000700010008,100000020200000742300008041
식품>가공식품>수산가공식품>건해산물>미역,신선식품>김/해조류>미역,G마켓,00030002000700010009,100000020200000742300028979
식품>가공식품>수산가공식품>건해산물>다시마,신선식품>김/해조류>다시마,G마켓,00030002000700010010,100000020200000742300028977
식품>가공식품>수산가공식품>건해산물>기타건어물,신선식품>건어물>기타건어물,G마켓,00030002000700010017,100000020200001691300025967
식품>가공식품>수산가공식품>건해산물>과메기,신선식품>건어물>과메기,G마켓,00030002000700010021,100000020200001691300028983
식품>가공식품>수산가공식품>건해산물>노가리/먹태,신선식품>건어물>노가리/먹태,G마켓,00030002000700010022,100000020200001691300028984
식품>가공식품>수산가공식품>건해산물>건문어,신선식품>건어물>건문어,G마켓,00030002000700010023,100000020200001691300028981
식품>가공식품>수산가공식품>건해산물>진미채,신선식품>건어물>진미채,G마켓,00030002000700010024,100000020200001691300028986
식품>가공식품>수산가공식품>기타수산가공식품,가공식품>수산가공식품>기타수산가공식품,G마켓,00030002000700030000,100000036200002930300028704
식품>가공식품>조미료>식초,가공식품>조미료/양념>식초,G마켓,00030002000800030000,100000036200001208300012423
식품>가공식품>조미료>소금,가공식품>조미료/양념>소금,G마켓,00030002000800040000,100000036200001208300028731
식품>가공식품>조미료>설탕,가공식품>조미료/양념>설탕,G마켓,00030002000800050000,100000036200001208300028730
식품>가공식품>조미료>물엿/올리고당,가공식품>조미료/양념>물엿/올리고당,G마켓,00030002000800060000,100000036200001208300012416
식품>가공식품>조미료>향신료>고춧가루,가공식품>조미료/양념>고춧가루,G마켓,00030002000800100001,100000036200001208300028729
식품>가공식품>조미료>향신료>참깨/들깨,신선식품>잡곡/혼합곡>참깨/들깨,G마켓,00030002000800100002,100000020200001689300018808
식품>가공식품>조미료>향신료>후추,가공식품>조미료/양념>후추,G마켓,00030002000800100004,100000036200001208300024602
식품>가공식품>조미료>향신료>계피,건강식품>한방재료>계피,G마켓,00030002000800100005,100000068200001200300028796
식품>가공식품>조미료>향신료>겨자/고추냉이,가공식품>조미료/양념>겨자/고추냉이,G마켓,00030002000800100006,100000036200001208300024603
식품>가공식품>조미료>향신료>캡사이신,가공식품>조미료/양념>캡사이신,G마켓,00030002000800100010,100000036200001208300028732
식품>가공식품>조미료>향신료>기타향신료,가공식품>조미료/양념>향신료,G마켓,00030002000800100011,100000036200001208300012417
식품>가공식품>조미료>기타조미료,가공식품>조미료/양념>기타조미료/양념,G마켓,00030002000800110000,100000036200001208300021915
식품>가공식품>소스/드레싱>양념장,가공식품>조미료/양념>양념장,G마켓,00030002000900010000,100000036200001208300012562
식품>가공식품>소스/드레싱>머스터드/겨자소스,가공식품>소스/드레싱>머스터드/겨자소스,G마켓,00030002000900020000,100000036200002366300024610
